setting,lambda,shift_F1,hold_F1,BC_F1,BC_vs_shift_F1,FA_max_increase
standard,0.0,0.23285029584777936,0.7125654366724647,0.06227066887625402,0.4935334824561271,0.0004344084163127645
uniform_lower,,0.23315082983824334,0.711235064783435,0.06978778638062356,0.5552639148568963,0.07174611050036044
fixed_per_bin,,0.23169109946270058,0.7110886551103353,0.06514628376976388,0.5165761218291484,0.03866192943196799
adaptive_forward,,0.23177041324983952,0.706374993224764,0.06817555166769673,0.5238974692021999,0.03820985392319435
adaptive_reverse,,0.23536399574181868,0.706571556465138,0.06910580681775723,0.563217180755869,0.08484826859282493
extreme,,0.23620663233616698,0.6998542104114972,0.07734738705016816,0.5979290979290979,0.12447361698970365
