epoch,grad_norm,step,train_loss,train_softmax_entropy,train_target_entropy,train_unseen_states,train_vad_loss,train_vap_loss,val_loss,val_softmax_entropy,val_target_entropy,val_unseen_states,val_vap_loss
0,0.4095103144645691,49,3.3383681774139404,3.6681807041168213,5.659970760345459,0.0,0.0,3.3383681774139404,,,,,
0,0.3597392737865448,99,3.365656614303589,3.782417058944702,5.613763809204102,3.0,0.0,3.365656614303589,,,,,
0,0.29186922311782837,149,2.796753406524658,3.628716230392456,5.1689772605896,10.0,0.0,2.796753406524658,,,,,
0,,157,,,,,,,3.0951120853424072,3.8350305557250977,5.56056022644043,2.6626086235046387,3.0951120853424072
1,0.27137893438339233,199,2.9192636013031006,3.7813286781311035,5.345552921295166,8.0,0.0,2.9192636013031006,,,,,
1,0.2760070860385895,249,3.224848985671997,3.9538846015930176,5.786357879638672,3.0,0.0,3.224848985671997,,,,,
1,0.19812585413455963,299,2.7497479915618896,3.7715654373168945,5.232845306396484,9.0,0.0,2.7497479915618896,,,,,
1,,315,,,,,,,2.975219488143921,3.915782928466797,5.56056022644043,2.6626086235046387,2.975219488143921
2,0.18198740482330322,349,2.887913227081299,3.8350915908813477,5.382883548736572,5.0,0.0,2.887913227081299,,,,,
2,0.1893954575061798,399,2.7487080097198486,3.896512746810913,5.427352428436279,3.0,0.0,2.7487080097198486,,,,,
2,0.17492912709712982,449,2.550743818283081,3.683187484741211,5.040421485900879,6.0,0.0,2.550743818283081,,,,,
2,,473,,,,,,,2.9126241207122803,3.9588205814361572,5.56056022644043,2.6626086235046387,2.9126241207122803
3,0.17740322649478912,499,2.7324554920196533,3.864525556564331,5.340744495391846,2.0,0.0,2.7324554920196533,,,,,
3,0.13322986662387848,549,2.7526490688323975,3.834136486053467,5.3815155029296875,4.0,0.0,2.7526490688323975,,,,,
3,0.10983296483755112,599,2.839620590209961,3.983135461807251,5.534609794616699,3.0,0.0,2.839620590209961,,,,,
3,,631,,,,,,,2.8761274814605713,3.9791007041931152,5.56056022644043,2.6626086235046387,2.8761274814605713
4,0.14410369098186493,649,2.560628890991211,3.7358672618865967,5.136431694030762,3.0,0.0,2.560628890991211,,,,,
4,0.11484743654727936,699,2.766396999359131,3.8631436824798584,5.432976722717285,1.0,0.0,2.766396999359131,,,,,
4,0.13529455661773682,749,2.715904474258423,3.903555154800415,5.383024215698242,4.0,0.0,2.715904474258423,,,,,
4,,789,,,,,,,2.8525876998901367,3.9875781536102295,5.56056022644043,2.6626086235046387,2.8525876998901367
5,0.18827444314956665,799,2.5888094902038574,3.8386480808258057,5.2115020751953125,8.0,0.0,2.5888094902038574,,,,,
5,0.150635227560997,849,2.8334648609161377,3.9231417179107666,5.576027870178223,2.0,0.0,2.8334648609161377,,,,,
5,0.09574862569570541,899,2.937411069869995,4.091610908508301,5.66864013671875,3.0,0.0,2.937411069869995,,,,,
